instance,divisor,cost
5/prob5c/b/density_0.5.json,6,5608
5/prob5c/b/density_0.5.json,8,5608
5/prob5c/b/density_0.5.json,10,5608
5/prob5c/b/density_0.25.json,2,5230
5/prob5c/b/density_0.25.json,4,5230
5/prob5c/b/density_0.25.json,6,5230
5/prob5c/b/density_0.25.json,8,5230
5/prob5c/b/density_0.25.json,10,5230
5/prob5c/b/density_0.75.json,2,6074
5/prob5c/b/density_0.75.json,4,6074
5/prob5c/b/density_0.75.json,6,6074
5/prob5c/b/density_0.75.json,8,6074
5/prob5c/b/density_0.75.json,10,6074
5/prob5c/b/density_0.json,2,3787
5/prob5c/b/density_0.json,4,3787
5/prob5c/b/density_0.json,6,3787
5/prob5c/b/density_0.json,8,3837
5/prob5c/b/density_0.json,10,3837
5/prob5c/c/density_0.1.json,2,4569
5/prob5c/c/density_0.1.json,4,4569
5/prob5c/c/density_0.1.json,6,4569
5/prob5c/c/density_0.1.json,8,4824
5/prob5c/c/density_0.1.json,10,4824
5/prob5c/c/density_0.5.json,2,5640
5/prob5c/c/density_0.5.json,4,5640
5/prob5c/c/density_0.5.json,6,5640
5/prob5c/c/density_0.5.json,8,5320
5/prob5c/c/density_0.5.json,10,5320
5/prob5c/c/density_0.25.json,2,5640
5/prob5c/c/density_0.25.json,4,5640
5/prob5c/c/density_0.25.json,6,5640
5/prob5c/c/density_0.25.json,8,5302
5/prob5c/c/density_0.25.json,10,5302
5/prob5c/c/density_0.75.json,2,5640
5/prob5c/c/density_0.75.json,4,5640
5/prob5c/c/density_0.75.json,6,5640
5/prob5c/c/density_0.75.json,8,5468
5/prob5c/c/density_0.75.json,10,5468
5/prob5c/c/density_0.json,2,3787
5/prob5c/c/density_0.json,4,3787
5/prob5c/c/density_0.json,6,3787
5/prob5c/c/density_0.json,8,3837
5/prob5c/c/density_0.json,10,3837
5/prob5c/d/density_0.1.json,2,4283
5/prob5c/d/density_0.1.json,4,4283
5/prob5c/d/density_0.1.json,6,4283
5/prob5c/d/density_0.1.json,8,4283
5/prob5c/d/density_0.1.json,10,4283
5/prob5c/d/density_0.5.json,2,4561
5/prob5c/d/density_0.5.json,4,4561
5/prob5c/d/density_0.5.json,6,4561
5/prob5c/d/density_0.5.json,8,4561
5/prob5c/d/density_0.5.json,10,4561
5/prob5c/d/density_0.25.json,2,4423
5/prob5c/d/density_0.25.json,4,4423
5/prob5c/d/density_0.25.json,6,4423
5/prob5c/d/density_0.25.json,8,4423
5/prob5c/d/density_0.25.json,10,4423
5/prob5c/d/density_0.75.json,2,6108
5/prob5c/d/density_0.75.json,4,6108
5/prob5c/d/density_0.75.json,6,5033
5/prob5c/d/density_0.75.json,8,5033
5/prob5c/d/density_0.75.json,10,5033
5/prob5c/d/density_0.json,2,3787
5/prob5c/d/density_0.json,4,3787
5/prob5c/d/density_0.json,6,3787
5/prob5c/d/density_0.json,8,3837
5/prob5c/d/density_0.json,10,3837
5/prob5c/e/density_0.1.json,2,5210
5/prob5c/e/density_0.1.json,4,5210
5/prob5c/e/density_0.1.json,6,5210
5/prob5c/e/density_0.1.json,8,4283
5/prob5c/e/density_0.1.json,10,4283
5/prob5c/e/density_0.5.json,2,5834
5/prob5c/e/density_0.5.json,4,5834
5/prob5c/e/density_0.5.json,6,5834
5/prob5c/e/density_0.5.json,8,5834
5/prob5c/e/density_0.5.json,10,5834
5/prob5c/e/density_0.25.json,2,5924
5/prob5c/e/density_0.25.json,4,5924
5/prob5c/e/density_0.25.json,6,4893
5/prob5c/e/density_0.25.json,8,4893
5/prob5c/e/density_0.25.json,10,4893
5/prob5c/e/density_0.75.json,2,6108
5/prob5c/e/density_0.75.json,4,6108
5/prob5c/e/density_0.75.json,6,5055
5/prob5c/e/density_0.75.json,8,5055
5/prob5c/e/density_0.75.json,10,5055
5/prob5c/e/density_0.json,2,3787
5/prob5c/e/density_0.json,4,3787
5/prob5c/e/density_0.json,6,3787
5/prob5c/e/density_0.json,8,3837
5/prob5c/e/density_0.json,10,3837
5/prob5d/a/density_0.1.json,2,3637
5/prob5d/a/density_0.1.json,4,3637
5/prob5d/a/density_0.1.json,6,3637
5/prob5d/a/density_0.1.json,8,3637
5/prob5d/a/density_0.1.json,10,3637
5/prob5d/a/density_0.5.json,2,3209
5/prob5d/a/density_0.5.json,4,3209
5/prob5d/a/density_0.5.json,6,3846
5/prob5d/a/density_0.5.json,8,3846
5/prob5d/a/density_0.5.json,10,3846
5/prob5d/a/density_0.25.json,2,3209
5/prob5d/a/density_0.25.json,4,3209
5/prob5d/a/density_0.25.json,6,3846
5/prob5d/a/density_0.25.json,8,3846
5/prob5d/a/density_0.25.json,10,3846
5/prob5d/a/density_0.75.json,2,3209
5/prob5d/a/density_0.75.json,4,3209
5/prob5d/a/density_0.75.json,6,3209
5/prob5d/a/density_0.75.json,8,3209
5/prob5d/a/density_0.75.json,10,3209
5/prob5d/a/density_0.json,2,3556
5/prob5d/a/density_0.json,4,3556
5/prob5d/a/density_0.json,6,3556
5/prob5d/a/density_0.json,8,3556
5/prob5d/a/density_0.json,10,3556
5/prob5d/b/density_0.1.json,2,3637
5/prob5d/b/density_0.1.json,4,3637
5/prob5d/b/density_0.1.json,6,3637
5/prob5d/b/density_0.1.json,8,3637
5/prob5d/b/density_0.1.json,10,3637
5/prob5d/b/density_0.5.json,2,3209
5/prob5d/b/density_0.5.json,4,3209
5/prob5d/b/density_0.5.json,6,3209
5/prob5d/b/density_0.5.json,8,3209
5/prob5d/b/density_0.5.json,10,3209
5/prob5d/b/density_0.25.json,2,3637
5/prob5d/b/density_0.25.json,4,3637
5/prob5d/b/density_0.25.json,6,3637
5/prob5d/b/density_0.25.json,8,3637
5/prob5d/b/density_0.25.json,10,3637
5/prob5d/b/density_0.75.json,2,3668
5/prob5d/b/density_0.75.json,4,3668
5/prob5d/b/density_0.75.json,6,3668
5/prob5d/b/density_0.75.json,8,3668
5/prob5d/b/density_0.75.json,10,3668
5/prob5d/b/density_0.json,2,3556
5/prob5d/b/density_0.json,4,3556
5/prob5d/b/density_0.json,6,3556
5/prob5d/b/density_0.json,8,3556
5/prob5d/b/density_0.json,10,3556
5/prob5d/c/density_0.1.json,2,3556
5/prob5d/c/density_0.1.json,4,3556
5/prob5d/c/density_0.1.json,6,3556
5/prob5d/c/density_0.1.json,8,3556
5/prob5d/c/density_0.1.json,10,3556
5/prob5d/c/density_0.5.json,2,3587
5/prob5d/c/density_0.5.json,4,3587
5/prob5d/c/density_0.5.json,6,3587
5/prob5d/c/density_0.5.json,8,3587
5/prob5d/c/density_0.5.json,10,3587
5/prob5d/c/density_0.25.json,2,3587
5/prob5d/c/density_0.25.json,4,3587
5/prob5d/c/density_0.25.json,6,3587
5/prob5d/c/density_0.25.json,8,3587
5/prob5d/c/density_0.25.json,10,3587
5/prob5d/c/density_0.75.json,2,3587
5/prob5d/c/density_0.75.json,4,3587
5/prob5d/c/density_0.75.json,6,3587
