Instancia,%Inc,Numero iteracion,Costo de iteracion
/5/prob5e/c,0.25,1,3585
/5/prob5e/c,0.75,0,4771
/5/prob5e/c,0.75,1,3585
/5/prob5e/c,0,0,4771
/5/prob5e/c,0,1,3585
/5/prob5e/d,0.1,0,4771
/5/prob5e/d,0.1,1,3585
/5/prob5e/d,0.5,0,4771
/5/prob5e/d,0.5,1,3585
/5/prob5e/d,0.25,0,4771
/5/prob5e/d,0.25,1,3585
/5/prob5e/d,0.75,0,4771
/5/prob5e/d,0.75,1,3585
/5/prob5e/d,0,0,4771
/5/prob5e/d,0,1,3585
/5/prob5e/e,0.1,0,4771
/5/prob5e/e,0.1,1,3585
/5/prob5e/e,0.5,0,4771
/5/prob5e/e,0.5,1,3585
/5/prob5e/e,0.25,0,4771
/5/prob5e/e,0.25,1,3585
/5/prob5e/e,0.75,0,4771
/5/prob5e/e,0.75,1,3585
/5/prob5e/e,0,0,4771
/5/prob5e/e,0,1,3585
/10/prob10a/a,0.1,0,10782
/10/prob10a/a,0.1,1,9985
/10/prob10a/a,0.1,2,9448
/10/prob10a/a,0.1,3,9098
/10/prob10a/a,0.1,4,8971
/10/prob10a/a,0.5,0,10782
/10/prob10a/a,0.5,1,9985
/10/prob10a/a,0.5,2,9448
/10/prob10a/a,0.5,3,9098
/10/prob10a/a,0.5,4,8971
/10/prob10a/a,0.25,0,10782
/10/prob10a/a,0.25,1,9985
/10/prob10a/a,0.25,2,9448
/10/prob10a/a,0.25,3,9098
/10/prob10a/a,0.25,4,8971
/10/prob10a/a,0.75,0,10782
/10/prob10a/a,0.75,1,9985
/10/prob10a/a,0.75,2,9448
/10/prob10a/a,0.75,3,9098
/10/prob10a/a,0.75,4,8971
/10/prob10a/a,0,0,10782
/10/prob10a/a,0,1,9985
/10/prob10a/a,0,2,9448
/10/prob10a/a,0,3,9098
/10/prob10a/a,0,4,8971
/10/prob10a/b,0.1,0,10782
/10/prob10a/b,0.1,1,9985
/10/prob10a/b,0.1,2,9448
/10/prob10a/b,0.1,3,9098
/10/prob10a/b,0.1,4,8971
/10/prob10a/b,0.5,0,10782
/10/prob10a/b,0.5,1,9985
/10/prob10a/b,0.5,2,9448
/10/prob10a/b,0.5,3,9098
/10/prob10a/b,0.5,4,8971
/10/prob10a/b,0.25,0,10782
/10/prob10a/b,0.25,1,9985
/10/prob10a/b,0.25,2,9448
/10/prob10a/b,0.25,3,9098
/10/prob10a/b,0.25,4,8971
/10/prob10a/b,0.75,0,10782
/10/prob10a/b,0.75,1,9985
/10/prob10a/b,0.75,2,9448
/10/prob10a/b,0.75,3,9098
/10/prob10a/b,0.75,4,8971
/10/prob10a/b,0,0,10782
/10/prob10a/b,0,1,9985
/10/prob10a/b,0,2,9448
/10/prob10a/b,0,3,9098
/10/prob10a/b,0,4,8971
/10/prob10a/c,0.1,0,10782
/10/prob10a/c,0.1,1,9985
/10/prob10a/c,0.1,2,9448
/10/prob10a/c,0.1,3,9098
/10/prob10a/c,0.1,4,8971
/10/prob10a/c,0.5,0,10782
/10/prob10a/c,0.5,1,9985
/10/prob10a/c,0.5,2,9448
/10/prob10a/c,0.5,3,9098
/10/prob10a/c,0.5,4,8971
/10/prob10a/c,0.25,0,10782
/10/prob10a/c,0.25,1,9985
/10/prob10a/c,0.25,2,9448
/10/prob10a/c,0.25,3,9098
/10/prob10a/c,0.25,4,8971
/10/prob10a/c,0.75,0,10782
/10/prob10a/c,0.75,1,9985
/10/prob10a/c,0.75,2,9448
/10/prob10a/c,0.75,3,9098
/10/prob10a/c,0.75,4,8971
/10/prob10a/c,0,0,10782
/10/prob10a/c,0,1,9985
/10/prob10a/c,0,2,9448
/10/prob10a/c,0,3,9098
/10/prob10a/c,0,4,8971
/10/prob10a/d,0.1,0,10782
/10/prob10a/d,0.1,1,9985
/10/prob10a/d,0.1,2,9448
/10/prob10a/d,0.1,3,9098
/10/prob10a/d,0.1,4,8971
/10/prob10a/d,0.5,0,10782
/10/prob10a/d,0.5,1,9985
/10/prob10a/d,0.5,2,9448
/10/prob10a/d,0.5,3,9098
/10/prob10a/d,0.5,4,8971
/10/prob10a/d,0.25,0,10782
/10/prob10a/d,0.25,1,9985
/10/prob10a/d,0.25,2,9448
/10/prob10a/d,0.25,3,9098
/10/prob10a/d,0.25,4,8971
/10/prob10a/d,0.75,0,10782
/10/prob10a/d,0.75,1,9985
/10/prob10a/d,0.75,2,9448
/10/prob10a/d,0.75,3,9098
/10/prob10a/d,0.75,4,8971
/10/prob10a/d,0,0,10782
/10/prob10a/d,0,1,9985
/10/prob10a/d,0,2,9448
/10/prob10a/d,0,3,9098
/10/prob10a/d,0,4,8971
/10/prob10a/e,0.1,0,10782
/10/prob10a/e,0.1,1,9985
/10/prob10a/e,0.1,2,9448
/10/prob10a/e,0.1,3,9098
/10/prob10a/e,0.1,4,8971
/10/prob10a/e,0.5,0,10782
/10/prob10a/e,0.5,1,9985
/10/prob10a/e,0.5,2,9448
/10/prob10a/e,0.5,3,9098
/10/prob10a/e,0.5,4,8971
/10/prob10a/e,0.25,0,10782
/10/prob10a/e,0.25,1,9985
/10/prob10a/e,0.25,2,9448
/10/prob10a/e,0.25,3,9098
/10/prob10a/e,0.25,4,8971
/10/prob10a/e,0.75,0,10782
/10/prob10a/e,0.75,1,9985
/10/prob10a/e,0.75,2,9448
/10/prob10a/e,0.75,3,9098
/10/prob10a/e,0.75,4,8971
/10/prob10a/e,0,0,10782
/10/prob10a/e,0,1,9985
/10/prob10a/e,0,2,9448
/10/prob10a/e,0,3,9098
/10/prob10a/e,0,4,8971
/10/prob10b/a,0.1,0,9898
/10/prob10b/a,0.1,1,9192
/10/prob10b/a,0.1,2,8812
/10/prob10b/a,0.1,3,8492
/10/prob10b/a,0.1,4,8382
/10/prob10b/a,0.1,5,8167
/10/prob10b/a,0.5,0,9898
/10/prob10b/a,0.5,1,9192
/10/prob10b/a,0.5,2,8812
/10/prob10b/a,0.5,3,8492
/10/prob10b/a,0.5,4,8382
/10/prob10b/a,0.5,5,8167
/10/prob10b/a,0.25,0,9898
/10/prob10b/a,0.25,1,9192
/10/prob10b/a,0.25,2,8812
/10/prob10b/a,0.25,3,8492
/10/prob10b/a,0.25,4,8382
/10/prob10b/a,0.25,5,8167
/10/prob10b/a,0.75,0,9898
/10/prob10b/a,0.75,1,9192
/10/prob10b/a,0.75,2,8812
/10/prob10b/a,0.75,3,8492
/10/prob10b/a,0.75,4,8382
/10/prob10b/a,0.75,5,8167
/10/prob10b/a,0,0,9898
/10/prob10b/a,0,1,9192
/10/prob10b/a,0,2,8812
/10/prob10b/a,0,3,8492
/10/prob10b/a,0,4,8382
/10/prob10b/a,0,5,8167
/10/prob10b/b,0.1,0,9898
/10/prob10b/b,0.1,1,9192
/10/prob10b/b,0.1,2,8812
/10/prob10b/b,0.1,3,8492
/10/prob10b/b,0.1,4,8382
/10/prob10b/b,0.1,5,8167
/10/prob10b/b,0.5,0,9898
/10/prob10b/b,0.5,1,9192
/10/prob10b/b,0.5,2,8812
/10/prob10b/b,0.5,3,8492
/10/prob10b/b,0.5,4,8382
/10/prob10b/b,0.5,5,8167
/10/prob10b/b,0.25,0,9898
/10/prob10b/b,0.25,1,9192
/10/prob10b/b,0.25,2,8812
/10/prob10b/b,0.25,3,8492
/10/prob10b/b,0.25,4,8382
/10/prob10b/b,0.25,5,8167
/10/prob10b/b,0.75,0,9898
/10/prob10b/b,0.75,1,9192
/10/prob10b/b,0.75,2,8812
/10/prob10b/b,0.75,3,8492
/10/prob10b/b,0.75,4,8382
/10/prob10b/b,0.75,5,8167
/10/prob10b/b,0,0,9898
/10/prob10b/b,0,1,9192
/10/prob10b/b,0,2,8812
/10/prob10b/b,0,3,8492
/10/prob10b/b,0,4,8382
/10/prob10b/b,0,5,8167
/10/prob10b/c,0.1,0,9898
/10/prob10b/c,0.1,1,9192
/10/prob10b/c,0.1,2,8812
/10/prob10b/c,0.1,3,8492
/10/prob10b/c,0.1,4,8382
/10/prob10b/c,0.1,5,8167
/10/prob10b/c,0.5,0,9898
/10/prob10b/c,0.5,1,9192
/10/prob10b/c,0.5,2,8812
/10/prob10b/c,0.5,3,8492
/10/prob10b/c,0.5,4,8382
/10/prob10b/c,0.5,5,8167
/10/prob10b/c,0.25,0,9898
/10/prob10b/c,0.25,1,9192
/10/prob10b/c,0.25,2,8812
/10/prob10b/c,0.25,3,8492
/10/prob10b/c,0.25,4,8382
/10/prob10b/c,0.25,5,8167
/10/prob10b/c,0.75,0,9898
/10/prob10b/c,0.75,1,9192
/10/prob10b/c,0.75,2,8812
/10/prob10b/c,0.75,3,8492
/10/prob10b/c,0.75,4,8382
/10/prob10b/c,0.75,5,8167
/10/prob10b/c,0,0,9898
/10/prob10b/c,0,1,9192
/10/prob10b/c,0,2,8812
/10/prob10b/c,0,3,8492
/10/prob10b/c,0,4,8382
/10/prob10b/c,0,5,8167
/10/prob10b/d,0.1,0,9898
/10/prob10b/d,0.1,1,9192
/10/prob10b/d,0.1,2,8812
/10/prob10b/d,0.1,3,8492
/10/prob10b/d,0.1,4,8382
/10/prob10b/d,0.1,5,8167
/10/prob10b/d,0.5,0,9898
/10/prob10b/d,0.5,1,9192
/10/prob10b/d,0.5,2,8812
/10/prob10b/d,0.5,3,8492
/10/prob10b/d,0.5,4,8382
/10/prob10b/d,0.5,5,8167
/10/prob10b/d,0.25,0,9898
/10/prob10b/d,0.25,1,9192
/10/prob10b/d,0.25,2,8812
/10/prob10b/d,0.25,3,8492
/10/prob10b/d,0.25,4,8382
/10/prob10b/d,0.25,5,8167
/10/prob10b/d,0.75,0,9898
/10/prob10b/d,0.75,1,9192
/10/prob10b/d,0.75,2,8812
/10/prob10b/d,0.75,3,8492
/10/prob10b/d,0.75,4,8382
/10/prob10b/d,0.75,5,8167
/10/prob10b/d,0,0,9898
/10/prob10b/d,0,1,9192
/10/prob10b/d,0,2,8812
/10/prob10b/d,0,3,8492
/10/prob10b/d,0,4,8382
/10/prob10b/d,0,5,8167
/10/prob10b/e,0.1,0,9898
/10/prob10b/e,0.1,1,9192
/10/prob10b/e,0.1,2,8812
/10/prob10b/e,0.1,3,8492
/10/prob10b/e,0.1,4,8382
/10/prob10b/e,0.1,5,8167
/10/prob10b/e,0.5,0,9898
/10/prob10b/e,0.5,1,9192
/10/prob10b/e,0.5,2,8812
/10/prob10b/e,0.5,3,8492
/10/prob10b/e,0.5,4,8382
/10/prob10b/e,0.5,5,8167
/10/prob10b/e,0.25,0,9898
/10/prob10b/e,0.25,1,9192
/10/prob10b/e,0.25,2,8812
/10/prob10b/e,0.25,3,8492
/10/prob10b/e,0.25,4,8382
/10/prob10b/e,0.25,5,8167
/10/prob10b/e,0.75,0,9898
/10/prob10b/e,0.75,1,9192
/10/prob10b/e,0.75,2,8812
/10/prob10b/e,0.75,3,8492
/10/prob10b/e,0.75,4,8382
/10/prob10b/e,0.75,5,8167
/10/prob10b/e,0,0,9898
/10/prob10b/e,0,1,9192
/10/prob10b/e,0,2,8812
/10/prob10b/e,0,3,8492
/10/prob10b/e,0,4,8382
/10/prob10b/e,0,5,8167
/10/prob10c/a,0.1,0,12247
/10/prob10c/a,0.1,1,9563
/10/prob10c/a,0.1,2,9253
/10/prob10c/a,0.1,3,9215
/10/prob10c/a,0.1,4,9172
/10/prob10c/a,0.5,0,12247
/10/prob10c/a,0.5,1,9563
/10/prob10c/a,0.5,2,9253
/10/prob10c/a,0.5,3,9215
/10/prob10c/a,0.5,4,9172
/10/prob10c/a,0.25,0,12247
/10/prob10c/a,0.25,1,9563
/10/prob10c/a,0.25,2,9253
/10/prob10c/a,0.25,3,9215
/10/prob10c/a,0.25,4,9172
/10/prob10c/a,0.75,0,12247
/10/prob10c/a,0.75,1,9563
/10/prob10c/a,0.75,2,9253
/10/prob10c/a,0.75,3,9215
/10/prob10c/a,0.75,4,9172
/10/prob10c/a,0,0,12247
/10/prob10c/a,0,1,9563
/10/prob10c/a,0,2,9253
/10/prob10c/a,0,3,9215
/10/prob10c/a,0,4,9172
/10/prob10c/b,0.1,0,12247
/10/prob10c/b,0.1,1,9563
/10/prob10c/b,0.1,2,9253
/10/prob10c/b,0.1,3,9215
/10/prob10c/b,0.1,4,9172
/10/prob10c/b,0.5,0,12247
/10/prob10c/b,0.5,1,9563
/10/prob10c/b,0.5,2,9253
/10/prob10c/b,0.5,3,9215
/10/prob10c/b,0.5,4,9172
/10/prob10c/b,0.25,0,12247
/10/prob10c/b,0.25,1,9563
/10/prob10c/b,0.25,2,9253
/10/prob10c/b,0.25,3,9215
/10/prob10c/b,0.25,4,9172
/10/prob10c/b,0.75,0,12247
/10/prob10c/b,0.75,1,9563
/10/prob10c/b,0.75,2,9253
/10/prob10c/b,0.75,3,9215
/10/prob10c/b,0.75,4,9172
/10/prob10c/b,0,0,12247
/10/prob10c/b,0,1,9563
/10/prob10c/b,0,2,9253
/10/prob10c/b,0,3,9215
/10/prob10c/b,0,4,9172
/10/prob10c/c,0.1,0,12247
/10/prob10c/c,0.1,1,9563
/10/prob10c/c,0.1,2,9253
/10/prob10c/c,0.1,3,9215
/10/prob10c/c,0.1,4,9172
/10/prob10c/c,0.5,0,12247
/10/prob10c/c,0.5,1,9563
/10/prob10c/c,0.5,2,9253
/10/prob10c/c,0.5,3,9215
/10/prob10c/c,0.5,4,9172
/10/prob10c/c,0.25,0,12247
/10/prob10c/c,0.25,1,9563
/10/prob10c/c,0.25,2,9253
/10/prob10c/c,0.25,3,9215
/10/prob10c/c,0.25,4,9172
/10/prob10c/c,0.75,0,12247
/10/prob10c/c,0.75,1,9563
/10/prob10c/c,0.75,2,9253
/10/prob10c/c,0.75,3,9215
/10/prob10c/c,0.75,4,9172
/10/prob10c/c,0,0,12247
/10/prob10c/c,0,1,9563
